id,title,cluster,clean_text
1opviil,‘Mind-captioning’ AI decodes brain activity to turn thoughts into text,1,Mind captioning AI decodes brain activity to turn thoughts into text
1op363o,Simple saliva test catches heart failure before you know you have it,1,Simple saliva test catches heart failure before you know you have it
1oozy3b,A New Light-Based Cancer Treatment Kills Tumor Cells and Spares Healthy Ones,1,A New Light Based Cancer Treatment Kills Tumor Cells and Spares Healthy Ones
1oo8t1s,Designer drug targets both heart disease and diabetes,1,Designer drug targets both heart disease and diabetes
1ond2wz,"Designing better, longer-lasting medicines",2,Designing better longer lasting medicines
1omhwkm,Biochips made from mushrooms rival power of manmade semiconductors,1,Biochips made from mushrooms rival power of manmade semiconductors
1okucbg,New nanoparticles stimulate the immune system to attack ovarian tumors,1,New nanoparticles stimulate the immune system to attack ovarian tumors
1oj4pzt,Fat breakdown fuels new hair growth in breakthrough study,1,Fat breakdown fuels new hair growth in breakthrough study
1oi8wdr,Swiss smart socks help diabetics feel their feet again,1,Swiss smart socks help diabetics feel their feet again
1ogkg1j,New Space Armor shields satellites from hypersonic space debris,1,New Space Armor shields satellites from hypersonic space debris
1ofs1gu,Forensics’ “Holy Grail”: New Test Recovers Fingerprints From Ammunition Casing,1,Forensics Holy Grail New Test Recovers Fingerprints From Ammunition Casing
1ofqd2z,Startup’s tablets deliver cancer drugs more evenly over time,1,Startup s tablets deliver cancer drugs more evenly over time
1ofezo6,Miami Has a New Cop on the Beat: A Drone-Launching Police Car That Can Drive Itself,1,Miami Has a New Cop on the Beat A Drone Launching Police Car That Can Drive Itself
1oexycx,Real-Time Audio Deepfakes Are Now a Reality | A cybersecurity firm has created convincing voices on the fly,1,Real Time Audio Deepfakes Are Now a Reality A cybersecurity firm has created convincing voices on the fly
1oexxcb,AI teaches itself and outperforms human-designed algorithms,1,AI teaches itself and outperforms human designed algorithms
1oex8bb,Pioneering eye implant restores reading vision to the blind,1,Pioneering eye implant restores reading vision to the blind
1oe4r3q,A new autonomous fighter jet just broke cover. It's powered by the same AI brain that flew an F-16 through a dogfight.,1,A new autonomous fighter jet just broke cover It s powered by the same AI brain that flew an F 16 through a dogfight
1oe2ib9,Bowel cancer’s “sugar shield” removed to reawaken immune defenses,1,Bowel cancer s sugar shield removed to reawaken immune defenses
1odbuvo,App that translates speech to sign language in real-time wins top innovation prize,1,App that translates speech to sign language in real time wins top innovation prize
1od780y,IBS breakthrough: Serotonin-making gut bugs restore bowel function,1,IBS breakthrough Serotonin making gut bugs restore bowel function
1obhtwa,Cancer drug combo slashes risk of death by more than 40%,1,Cancer drug combo slashes risk of death by more than 40
1oaotd7,Sake to the stars: Japan’s lunar brewing experiment set for takeoff,4,Sake to the stars Japan s lunar brewing experiment set for takeoff
1o9xy5p,Ulcer-treating device is like a little pen that you swallow,1,Ulcer treating device is like a little pen that you swallow
1o90ynn,95% of kids with “bubble boy” disease cured by one-time gene therapy,1,95 of kids with bubble boy disease cured by one time gene therapy
1o861b4,New approach shields memory from brain cancer radiotherapy,1,New approach shields memory from brain cancer radiotherapy
1o7adwi,Helping scientists run complex data analyses without writing code,1,Helping scientists run complex data analyses without writing code
1o6eogc,Two-pronged approach cuts sleep apnea events by 68%,1,Two pronged approach cuts sleep apnea events by 68
1o5j1j1,Naked mole-rat DNA repair could unlock natural human longevity,1,Naked mole rat DNA repair could unlock natural human longevity
1o4p02i,Engineered “natural killer” cells could help fight cancer,1,Engineered natural killer cells could help fight cancer
1o3vw6e,Forged in disorder: High-entropy MXenes emerge as a new material,9,Forged in disorder High entropy MXenes emerge as a new material
1o2zyym,Next-gen vaccine prevents up to 88% of multiple aggressive cancers,1,Next gen vaccine prevents up to 88 of multiple aggressive cancers
1o24xx8,New daily pill shows strong results in ulcerative colitis clinical trial,1,New daily pill shows strong results in ulcerative colitis clinical trial
1o1ahsj,'Breakthrough' blood test detects chronic fatigue in 92% of cases,1,Breakthrough blood test detects chronic fatigue in 92 of cases
1o0i23l,"New sunlight-powered film kills 99.995% bacteria to provide safe drinking water | It offers a simple, affordable, and robust solution to the global safe drinking water crisis.",1,New sunlight powered film kills 99 995 bacteria to provide safe drinking water It offers a simple affordable and robust solution to the global safe drinking water crisis
1o0dk1n,"Printable aluminum alloy sets strength records, may enable lighter aircraft parts",1,Printable aluminum alloy sets strength records may enable lighter aircraft parts
1o0b42k,Tiny lab-grown brains could help build the next generation of computers | Biocomputing has left the realm of science fiction and entered the laboratory,1,Tiny lab grown brains could help build the next generation of computers Biocomputing has left the realm of science fiction and entered the laboratory
1nzmd2l,"Ocean CO2 becomes sustainable plastic, thanks to modified microbes | Turning dissolved carbon dioxide from seawater to biodegradable plastic is an especially powerful way to clean up the ocean",1,Ocean CO2 becomes sustainable plastic thanks to modified microbes Turning dissolved carbon dioxide from seawater to biodegradable plastic is an especially powerful way to clean up the ocean
1nzfpoi,How Wi-Fi Signals Can Be Used to Detect Your Heartbeat | Contactless pulse monitoring opens up new wearable possibilities,1,How Wi Fi Signals Can Be Used to Detect Your Heartbeat Contactless pulse monitoring opens up new wearable possibilities
1nzfgso,Chemists create red fluorescent dyes that may enable clearer biomedical imaging | The new dyes are based on boron-containing molecules that were previously too unstable for practical use.,1,Chemists create red fluorescent dyes that may enable clearer biomedical imaging The new dyes are based on boron containing molecules that were previously too unstable for practical use
1nzfd73,"Smart in-asphalt fabric provides live reports from within roads | Once embedded in the asphalt, the sensor fabric’s job is to provide continuous measurements",1,Smart in asphalt fabric provides live reports from within roads Once embedded in the asphalt the sensor fabric s job is to provide continuous measurements
1nzfaht,"'Sugar switch' in the brain offers new path to treating depression | Removing the St3gal1 enzyme in healthy mice caused depressive symptoms, increasing St3gal1 in stressed mice had the opposite effect, easing those behaviors.",1,Sugar switch in the brain offers new path to treating depression Removing the St3gal1 enzyme in healthy mice caused depressive symptoms increasing St3gal1 in stressed mice had the opposite effect easing those behaviors
1nynmwe,Psychedelic DMT shows promise as breakthrough stroke treatment,1,Psychedelic DMT shows promise as breakthrough stroke treatment
1nxv83p,Parachutes with hundreds of holes could enable safer drone deliveries,1,Parachutes with hundreds of holes could enable safer drone deliveries
1nxscj6,"A groundbreaking study has revealed that your mom and dad’s DNA don’t just pass on telomere length, they actively reshape it in the first days of life, influencing how we age and our risk of developing diseases such as cancer.",1,A groundbreaking study has revealed that your mom and dad s DNA don t just pass on telomere length they actively reshape it in the first days of life influencing how we age and our risk of developing diseases such as cancer
1nwzuea,NASA moon rover project pushes extreme battery tech to its limits,1,NASA moon rover project pushes extreme battery tech to its limits
1nwvnsp,Next-gen imaging tech could catch sight-stealing diseases early | A powerful new imaging tool offers unprecedented 3D vision of the retina,1,Next gen imaging tech could catch sight stealing diseases early A powerful new imaging tool offers unprecedented 3D vision of the retina
1nw5nqm,"MIT's concrete battery just got 10 times more powerful | Researchers found a way to combine cement, water, and carbon black to create a 'supercapacitor', expanding the storage capacity by nearly 10 times.",1,MIT s concrete battery just got 10 times more powerful Researchers found a way to combine cement water and carbon black to create a supercapacitor expanding the storage capacity by nearly 10 times
1nw2k8b,This chip uses light to supercharge AI and cut energy use,1,This chip uses light to supercharge AI and cut energy use
1nw0fgn,"Palladium filters could enable cheaper, more efficient generation of hydrogen fuel | The novel design allows the membranes to withstand high temperatures when separating hydrogen from gas mixtures.",1,Palladium filters could enable cheaper more efficient generation of hydrogen fuel The novel design allows the membranes to withstand high temperatures when separating hydrogen from gas mixtures
1nvzkbv,"Notorious Alzheimer’s protein also supercharges cells against cancer | Scientists have found that a byproduct of amyloid-beta rejuvenates T cells, boosting their tumor-fighting power and dramatically reducing cancer risk.",1,Notorious Alzheimer s protein also supercharges cells against cancer Scientists have found that a byproduct of amyloid beta rejuvenates T cells boosting their tumor fighting power and dramatically reducing cancer risk
1nvjz4n,"Edible sensor warns of flu by tasting like thyme | The molecular sensor contains a phenolic compound called thymol, which is found in thyme",1,Edible sensor warns of flu by tasting like thyme The molecular sensor contains a phenolic compound called thymol which is found in thyme
1nv7jq1,Artificial neuron melds electronics and biology to function like the real thing,1,Artificial neuron melds electronics and biology to function like the real thing
1nv6bxv,Oak Ridge's new 3D printer can mix and match materials at massive scale | Scientists unveil multiplexed nozzle for next-generation 3D printing,1,Oak Ridge s new 3D printer can mix and match materials at massive scale Scientists unveil multiplexed nozzle for next generation 3D printing
1nuwsa7,Study finds key role for non-neural brain cells in processing vision | MIT researchers employed a novel application of tools and analysis to show that astrocytes ensure neural information processing by maintaining ambient levels of the neurotransmitter chemical GABA.,1,Study finds key role for non neural brain cells in processing vision MIT researchers employed a novel application of tools and analysis to show that astrocytes ensure neural information processing by maintaining ambient levels of the neurotransmitter chemical GABA
1nucil7,A boost for the precision of genome editing,1,A boost for the precision of genome editing
1nuce6u,"Spider-like construction robot promises to build a home per day | Being autonomously capable of building a 2,150-sq-ft home in a single day – operating at roughly the speed of 100 bricklayers.",1,Spider like construction robot promises to build a home per day Being autonomously capable of building a 2 150 sq ft home in a single day operating at roughly the speed of 100 bricklayers
1ntgxhg,"Low-dose radiation relieves knee osteoarthritis pain, improves function",1,Low dose radiation relieves knee osteoarthritis pain improves function
1nsnyq5,“Bottlebrush” particles deliver big chemotherapy payloads directly to cancer cells,1,Bottlebrush particles deliver big chemotherapy payloads directly to cancer cells
1nsnjy0,"UV light is a fast, effective way to deactivate indoor airborne allergens | UV222 light is a passive, quick way to inactivate indoor airborne allergens like cat dander",1,UV light is a fast effective way to deactivate indoor airborne allergens UV222 light is a passive quick way to inactivate indoor airborne allergens like cat dander
